,drummer,session,opus,tempo,genre,ts,length,fail
188,3,2,35,92,rock,4/4,4.0,
189,3,2,36,92,rock,4/4,2.0,
190,3,2,37,92,rock,4/4,11.0,
191,3,2,38,92,rock,4/4,4.0,
192,3,2,40,110,hiphop,4/4,8.0,
193,3,2,41,110,hiphop,4/4,2.0,
194,3,2,42,110,rock,4/4,9.0,
195,3,2,43,110,rock,4/4,21.0,
196,3,2,47,110,rock,4/4,4.0,
197,3,2,48,110,rock,4/4,4.0,
198,4,1,1,87,rock,4/4,21.0,1.0
199,4,1,2,158,jazz,4/4,33.0,
200,4,1,3,152,jazz,4/4,24.0,
201,4,1,4,92,latin,4/4,9.0,
202,4,1,5,184,latin,4/4,30.0,
203,4,1,6,134,blues,4/4,4.0,
204,4,1,7,134,blues,4/4,2.0,1.0
205,4,1,8,112,blues,4/4,5.0,
206,4,1,9,158,latin,4/4,13.0,
207,5,1,13,124,afrocuban,4/4,180.0,3.0
208,5,1,15,100,funk,4/4,125.0,5.0
209,5,1,16,136,rock,4/4,169.0,3.0
210,5,1,17,72,blues,4/4,81.0,10.0
211,5,1,18,128,afrocuban,4/4,121.0,2.0
212,5,1,19,126,middleeastern,4/4,119.0,3.0
213,5,2,2,101,latin,4/4,27.0,2.0
214,5,2,3,101,latin,4/4,44.0,5.0
215,5,2,4,141,reggae,4/4,122.0,14.0
216,5,2,5,126,reggae,4/4,97.0,
217,5,2,7,124,neworleans,4/4,49.0,17.0
218,5,2,8,124,neworleans,4/4,60.0,12.0
219,5,2,9,104,neworleans,4/4,57.0,6.0
220,5,2,10,102,neworleans,4/4,81.0,12.0
221,5,2,11,96,soul,4/4,53.0,4.0
222,5,2,12,105,rock,4/4,57.0,5.0
223,5,2,13,140,rock,4/4,33.0,1.0
224,5,2,14,140,rock,4/4,54.0,5.0
225,5,2,16,125,latin,3/4,112.0,5.0
226,6,1,1,70,rock,6/8,22.0,
227,6,1,2,70,rock,6/8,50.0,
228,6,1,3,80,rock,6/8,14.0,
229,6,1,4,80,rock,6/8,35.0,
230,6,1,5,60,rock,6/8,38.0,
231,6,2,1,95,rock,4/4,74.0,
232,6,2,2,95,rock,4/4,57.0,2.0
233,6,2,3,88,rock,4/4,74.0,1.0
234,6,3,1,90,rock,4/4,21.0,
235,6,3,2,100,rock,4/4,32.0,
236,6,3,3,100,rock,4/4,86.0,
